logo,empresa,ticker,mercado,comision,minimo,horario,fraccion,ticker.yf,Validado,Nombre,Sector
https://logos.xtb.com/01c_pl.svg,01Cyberaton SA,01C.PL,Warszawa,0 EUR*,10 PLN,09:00 - 16:50,Sí,01C.WA,False,False,False
https://logos.xtb.com/06n_pl.svg,Magna Polonia SA,06N.PL,Warszawa,0 EUR*,10 PLN,09:00 - 16:50,Sí,06N.WA,True,Magna Polonia S.A.,Financial Services
https://logos.xtb.com/0lji_de.svg,WisdomTree Multi Asset Issuer PLC,0LJI.DE,Frankfurt,-,10 EUR,-,No,0LJI.DE,False,False,False
https://logos.xtb.com/0vso_uk.svg,BYD Co Ltd,0VSO.UK,London,-,10 GBP,-,No,0VSO.L,True,BYD Company Limited,
https://logos.xtb.com/11b_pl.svg,11 bit studios SA,11B.PL,Warszawa,0 EUR*,10 PLN,09:00 - 16:50,Sí,11B.WA,True,11 bit studios S.A.,Communication Services
https://logos.xtb.com/12da_de.svg,Dell Technologies Inc,12DA.DE,Frankfurt,0 EUR*,10 EUR,09:00 - 17:30,No,12DA.DE,True,Dell Technologies Inc.,Technology
https://logos.xtb.com/1at_pl.svg,Atal SA,1AT.PL,Warszawa,0 EUR*,10 PLN,09:00 - 16:50,Sí,1AT.WA,True,Atal S.A.,Real Estate
https://logos.xtb.com/1cnhi_it.svg,CNH Industrial NV,1CNHI.IT,Milan,-,10 EUR,-,No,1CNHI.MI,True,CNH INDUSTRIAL,Industrials
https://logos.xtb.com/1cov_de.svg,Covestro AG,1COV.DE,Frankfurt,0 EUR*,10 EUR,09:00 - 17:30,Sí,1COV.DE,True,Covestro AG,
https://logos.xtb.com/1fc_de.svg,FACC AG,1FC.DE,Frankfurt,0 EUR*,10 EUR,09:00 - 17:30,Sí,1FC.DE,False,False,False
https://logos.xtb.com/1sxp_de.svg,SCHOTT Pharma AG & Co KgaA,1SXP.DE,Frankfurt,0 EUR*,10 EUR,09:00 - 17:30,Sí,1SXP.DE,True,SCHOTT Pharma AG & Co. KGaA,Healthcare
https://logos.xtb.com/1u1_de.svg,1&1 AG,1U1.DE,Frankfurt,-,10 EUR,-,No,1U1.DE,True,1&1 AG,Communication Services
https://logos.xtb.com/1yd_de.svg,Broadcom Inc,1YD.DE,Frankfurt,0 EUR*,10 EUR,09:00 - 17:30,No,1YD.DE,True,Broadcom Inc.,Technology
https://logos.xtb.com/27n0_de.svg,Cannovum Cannabis AG,27N0.DE,Frankfurt,-,10 EUR,-,No,27N0.DE,True,CANNOVUM CANNABIS AG          I,Healthcare
https://logos.xtb.com/2gb_de.svg,2G Energy AG,2GB.DE,Frankfurt,-,10 EUR,-,No,2GB.DE,True,2G Energy AG,Industrials
https://logos.xtb.com/2hra_de.svg,H&R GmbH & Co KgaA,2HRA.DE,Frankfurt,-,10 EUR,-,No,2HRA.DE,True,H&R GmbH & Co. KGaA,Basic Materials
https://logos.xtb.com/2inv_de.svg,2Invest AG,2INV.DE,Frankfurt,-,10 EUR,-,No,2INV.DE,True,2invest AG,
https://logos.xtb.com/2pp_de.svg,PayPal Holdings Inc,2PP.DE,Frankfurt,0 EUR*,10 EUR,09:00 - 17:30,No,2PP.DE,True,"PayPal Holdings, Inc.",Financial Services
https://logos.xtb.com/3itn_de.svg,audius SE,3ITN.DE,Frankfurt,-,10 EUR,-,No,3ITN.DE,True,audius SE,Technology
https://logos.xtb.com/3rg_pl.svg,3R Games SA,3RG.PL,Warszawa,0 EUR*,10 PLN,09:00 - 16:50,Sí,3RG.WA,True,3R Games S.A.,Consumer Cyclical
https://logos.xtb.com/4ds_de.svg,Daldrup & Soehne AG,4DS.DE,Frankfurt,-,10 EUR,-,No,4DS.DE,True,Daldrup & Söhne Aktiengesellschaft,Energy
https://logos.xtb.com/4mb_pl.svg,4Mobility SA,4MB.PL,Warszawa,-,10 PLN,-,No,4MB.WA,True,4Mobility Spólka Akcyjna,No especificado
https://logos.xtb.com/4ms_pl.svg,4Mass SA,4MS.PL,Warszawa,0 EUR*,10 PLN,09:00 - 16:50,Sí,4MS.WA,True,4MASS,Consumer Defensive
https://logos.xtb.com/4x0_de.svg,Steyr Motors AG,4X0.DE,Frankfurt,-,10 EUR,-,No,4X0.DE,True,Steyr Motors AG,Industrials
https://logos.xtb.com/690d_de.svg,Haier Smart Home Co Ltd,690D.DE,Frankfurt,-,10 EUR,-,No,690D.DE,True,"Haier Smart Home Co., Ltd.",Consumer Cyclical
